7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.8-2
acpid 2.0.34-2
adobe-source-sans-fonts 3.052-2
adw-gtk-theme 6.4-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alembic 1.8.10-1
alsa-card-profiles 1:1.4.9-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-2
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amd-ucode 20251125-2
android-file-transfer 4.5-2
android-tools 35.0.2-23
android-udev 20250525-1
aom 3.13.1-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
appstream-qt 1.1.1-1
archlinux-appstream-data 20251025-2
archlinux-keyring 20251116-1
argon2 20190702-6
aria2 1.37.0-2
ark 25.12.0-1
assimp 6.0.2-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
atomicparsley 20240608.083822.1ed9031-1
attica 6.20.0-1
attr 2.5.2-1
audiocd-kio 25.12.0-1
audit 4.1.2-1
aurorae 6.5.4-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
babl 0.1.116-1
baloo 6.20.0-1
baloo-widgets 25.12.0-1
base 3-3
base-devel 1-3
bash 5.3.8-1
bc 1.08.2-1
bigsh0t 2.7-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:5.0.0-1
blosc 1.21.6-2
bluedevil 1:6.5.4-1
blueprint-compiler 0.18.0-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-qt 6.20.0-1
bolt 0.9.10-1
boost 1.89.0-3
boost-libs 1.89.0-3
bottles 2:60.1-1
bpf 6.17-2
breeze 6.5.4-1
breeze-gtk 6.5.4-1
breeze-icons 6.20.0-1
breeze5 6.5.4-1
bridge-utils 1.7.1-2
brltty 6.8-5
brotli 1.1.0-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
bun-bin 1.3.4-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
capstone 5.0.6-1
catdoc 0.95-6
catfish 4.20.1-1
cbindgen 0.29.2-1
cblas 3.12.1-2
ccache 4.12.2-1
cdemu-client 3.2.5-2
cdemu-daemon 3.2.7-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.3-1
chromaprint 1.6.0-2
chromium 143.0.7499.109-1
cifs-utils 7.4-1
ckbcomp 1.227-2
clang 21.1.6-1
clblast 1.6.3-2
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-16
clutter 1.26.4-3
clutter-gtk 1.8.4-4
cmark 0.31.1-1
cogl 1.22.8-3
coin 1:4.0.5-3
colord 1.4.8-1
compiler-rt 21.1.6-1
composable-kernel 7.1.1-1
composefs 1.0.8-1
confuse 3.3-4
containerd 2.2.0-1
convertlit 1.8-13
coreutils 9.9-1
cpio 2.15-3
cpu-x 5.4.0-1
cpupower 6.17-2
cracklib 2.10.3-1
cronie 1.7.2-2
cryptsetup 2.8.1-1
cups 2:2.4.16-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
cura-bin 5.11.0-1
curl 8.17.0-2
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
ddcutil 2.2.3-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
diffutils 3.12-2
